"","release_year","genre_early_main","percent"
"334",2009,"Black Metal",0.291561181434599
"335",2010,"Black Metal",0.303057155516172
"336",2011,"Black Metal",0.279602420051858
"337",2012,"Black Metal",0.261822871883061
"338",2013,"Black Metal",0.252798507462687
"339",2014,"Black Metal",0.258866881621373
"340",2015,"Black Metal",0.27580730545262
"341",2016,"Black Metal",0.256827731092437
"342",2017,"Black Metal",0.255784865540963
"343",2018,"Black Metal",0.21955003878976
"344",1970,"Metalcore",0
"345",1971,"Metalcore",0
"346",1972,"Metalcore",0
"347",1973,"Metalcore",0
"348",1974,"Metalcore",0
"349",1975,"Metalcore",0
"350",1976,"Metalcore",0
"351",1977,"Metalcore",0
"352",1978,"Metalcore",0
"353",1979,"Metalcore",0
"354",1980,"Metalcore",0
"355",1981,"Metalcore",0.00862068965517241
"356",1982,"Metalcore",0
"357",1983,"Metalcore",0.00966183574879227
"358",1984,"Metalcore",0
"359",1985,"Metalcore",0.008
"360",1986,"Metalcore",0.0186666666666667
"361",1987,"Metalcore",0.0141843971631206
"362",1988,"Metalcore",0.0226244343891403
"363",1989,"Metalcore",0.026
"364",1990,"Metalcore",0.0257352941176471
"365",1991,"Metalcore",0.0176678445229682
"366",1992,"Metalcore",0.0158227848101266
"367",1993,"Metalcore",0.0157728706624606
"368",1994,"Metalcore",0.00786163522012579
"369",1995,"Metalcore",0.0160116448326055
"370",1996,"Metalcore",0.0200860832137733
"371",1997,"Metalcore",0.0248275862068966
"372",1998,"Metalcore",0.0201511335012594
"373",1999,"Metalcore",0.019501625135428
"374",2000,"Metalcore",0.0371155885471898
"375",2001,"Metalcore",0.0307692307692308
"376",2002,"Metalcore",0.0343773873185638
"377",2003,"Metalcore",0.0365699873896595
"378",2004,"Metalcore",0.0305843801201529
"379",2005,"Metalcore",0.0372478013450595
"380",2006,"Metalcore",0.0464774951076321
"381",2007,"Metalcore",0.0463768115942029
"382",2008,"Metalcore",0.0481304693715195
"383",2009,"Metalcore",0.0316455696202532
"384",2010,"Metalcore",0.0412051395657953
"385",2011,"Metalcore",0.0440795159896284
"386",2012,"Metalcore",0.0292347377472055
"387",2013,"Metalcore",0.0289179104477612
"388",2014,"Metalcore",0.0290188853063105
"389",2015,"Metalcore",0.0222339862361038
"390",2016,"Metalcore",0.0246848739495798
"391",2017,"Metalcore",0.024390243902439
"392",2018,"Metalcore",0.0232738557020946
"393",1970,"Death Metal",0
"394",1971,"Death Metal",0
"395",1972,"Death Metal",0
"396",1973,"Death Metal",0
"397",1974,"Death Metal",0
"398",1975,"Death Metal",0
"399",1976,"Death Metal",0
"400",1977,"Death Metal",0
"401",1978,"Death Metal",0
